;DATE;Unnamed: 0;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
47;feb-87;5199;216;106.0043869;10.38158609;1114551;283600;0;0;-0.715714276;0;0;0;527.2017857;0
48;feb-88;5391.586207;216;106.0043869;10.38158609;1114551;283600;0;0;0.269999996;0;0;0;1156.378621;0
49;feb-89;5201;216;106.0043869;10.38158609;1114551;283600;0;0;-0.660357129;0;0;0;393.1796429;0
50;feb-90;5202;216;106.0043869;10.38158609;1114551;283600;0;0;-0.17785714;0;0;0;607.3192857;0
51;feb-91;5203;216;106.0043869;10.38158609;1114551;283600;0;0;-0.789285689;0;0;0;398.7253571;0
52;feb-92;5395.482759;216;106.0043869;10.38158609;1114551;283600;0;0;-0.748965505;0;0;0;418.8458621;0
53;feb-93;5205;216;106.0043869;10.38158609;1114551;283600;0;0;-0.574285704;0;0;0;764.3471429;0
54;feb-94;5206;216;106.0043869;10.38158609;1114551;283600;0;0;-0.337499997;0;0;0;1328.531071;0
55;feb-95;5207;216;106.0043869;10.38158609;1114551;283600;0;0;0.716785697;0;0;0;1562.406071;0
56;feb-96;5399.37931;216;106.0043869;10.38158609;1114551;283600;0;0;-0.776206877;0;0;0;400.8913793;0
57;feb-97;5209;216;106.0043869;10.38158609;1114551;283600;0;0;-0.674285704;0;0;0;616.9007143;0
58;feb-98;5210;216;106.0043869;10.38158609;1114551;283600;0;0;-0.79142854;0;0;0;424.2517857;0
59;feb-99;5211;216;106.0043869;10.38158609;1114551;283600;0;0;-0.613214276;0;0;0;840.075;0
60;feb-00;5403.275862;216;106.0043869;10.38158609;1114551;283600;0;0;-0.440689649;0;0;0;925.0644828;0
61;feb-01;5213;216;106.0043869;10.38158609;1114551;283600;0;0;-0.312857134;0;0;0;1054.567143;0
62;feb-02;5214;216;106.0043869;10.38158609;1114551;283600;0;0;-0.241428569;0;0;0;1292.418929;0
63;feb-03;5215;216;106.0043869;10.38158609;1114551;283600;0;0;-0.33107142;0;0;0;1096.238929;0
64;mrt-72;5786.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.638387086;0;0;0;102.9925806;0
65;mrt-73;5787.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.402580636;0;0;0;334.5590323;0
66;mrt-74;5788.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.565483851;0;0;0;309.9725806;0
67;mrt-75;5789.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.539999989;0;0;0;347.9048387;0
68;mrt-76;5790.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.616774177;0;0;0;164.9551613;0
69;mrt-77;5791.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.333225799;0;0;0;502.5935484;0
70;mrt-78;5792.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.397096765;0;0;0;669.3096774;0
71;mrt-79;5793.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.349354833;0;0;0;756.3335484;0
72;mrt-80;5794.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.539999994;0;0;0;321.8170968;0
73;mrt-81;5795.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.274838707;0;0;0;899.0825806;0
74;mrt-82;5796.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.435161282;0;0;0;490.4664516;0
75;mrt-83;5797.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.46290322;0;0;0;520.2412903;0
76;mrt-84;5798.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.576774175;0;0;0;306.2074194;0
77;mrt-85;5799.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.573225787;0;0;0;283.4745161;0
78;mrt-86;5800.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.570967725;0;0;0;311.1890323;0
79;mrt-87;5801.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.494838705;0;0;0;657.5658065;0
80;mrt-88;5802.580645;216;106.0043869;10.38158609;1114551;283600;0;0;0.067741933;0;0;0;1086.476129;0
81;mrt-89;5803.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.246451604;0;0;0;632.2877419;0
82;mrt-90;5804.580645;216;106.0043869;10.38158609;1114551;283600;0;0;0.061935483;0;0;0;837.4670968;0
83;mrt-91;5805.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.57935482;0;0;0;227.0832258;0
84;mrt-92;5806.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.4564516;0;0;0;462.6151613;0
85;mrt-93;5807.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.59161288;0;0;0;240.79;0
86;mrt-94;5808.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.326129026;0;0;0;658.9670968;0
87;mrt-95;5809.580645;216;106.0043869;10.38158609;1114551;283600;0;0;0.169677413;0;0;0;1189.749677;0
88;mrt-96;5810.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.630645139;0;0;0;160.7532258;0
89;mrt-97;5811.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.314838701;0;0;0;531.9725806;0
90;mrt-98;5812.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.38419354;0;0;0;516.3709677;0
91;mrt-99;5813.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.082258061;0;0;0;1035.795484;0
92;mrt-00;5814.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.187419349;0;0;0;941.3377419;0
93;mrt-01;5815.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.329032248;0;0;0;774.27;0
94;mrt-02;5816.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.046774192;0;0;0;1099.399355;0
95;mrt-03;5817.580645;216;106.0043869;10.38158609;1114551;283600;0;0;-0.532903214;0;0;0;303.1345161;0
96;apr-72;5629.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.336333318;0;0;0;312.9123333;0
97;apr-73;5630.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.30333332;0;0;0;412.6873333;0
98;apr-74;5631.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.343999989;0;0;0;173.3823333;0
99;apr-75;5632.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.290999988;0;0;0;600.569;0
100;apr-76;5633.333333;216;106.0043869;10.38158609;1114551;283600;0;0;-0.346333321;0;0;0;113.0426667;0
