;DATE;stations;lat;lon;y;x;z;h_reg;h_loc;WL_berekend;Q_in;Q_out;Q_net;Q_m
55;1-2-1966;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.199999996;0;0;0;1493.4;0
56;1-2-1967;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.28;0;0;0;547.39;0
57;1-2-1968;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;1072.47;0
58;1-2-1969;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.35999996;0;0;0;75.7;0
59;1-2-1970;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.94999998;0;0;0;1283.72;0
60;1-2-1971;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.25999999;0;0;0;764.26;0
61;1-2-1972;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.02;0;0;0;635.54;0
62;1-2-1973;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.01;0;0;0;316.56;0
63;1-2-1974;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.08;0;0;0;778.96;0
64;1-2-1975;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.70999998;0;0;0;1154.63;0
65;1-2-1976;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.44999999;0;0;0;1086.4;0
66;1-2-1977;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.28;0;0;0;652;0
67;1-2-1978;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.25;0;0;0;1029.99;0
68;1-2-1979;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.58999998;0;0;0;465.99;0
69;1-2-1980;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.06;0;0;0;230.19;0
70;1-2-1981;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.48;0;0;0;651.34;0
71;1-2-1982;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.199999996;0;0;0;1580.09;0
72;1-2-1983;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;2.28;0;0;0;542.34;0
73;1-2-1984;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.3;0;0;0;947.56;0
74;1-2-1985;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;1.35999996;0;0;0;161.9;0
75;1-2-1986;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.93;0;0;0;2390.52;0
76;1-2-1987;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.25999999;0;0;0;553.65;0
77;1-2-1988;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0;0;0;0;1560.06;0
78;1-2-1989;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.02;0;0;0;581.51;0
79;1-2-1990;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;0.72999998;0;0;0;514.6;0
80;1-2-1991;35;106.0094339;10.37663323;1115113.608;283268.2826;0;0;-0.20999999;0;0;0;514.88;0
